iteration,weight1,weight2,weight3,weight4,weight_bias,dw1,dw2,dw3,dw4,dw_bias,activation
178,0.251686,0.63185,0.628247,0.289563,0.449243,0.0735077,0.0504465,0.0201786,0.00432398,0.0144133,0.997892
179,0.244336,0.626805,0.626229,0.28913,0.447802,0.0521324,0.0347549,0.0155483,0.00274381,0.00914604,0.998904
180,0.239122,0.62333,0.624674,0.288856,0.446887,0.0635871,0.0473786,0.0187021,0.00374042,0.0124681,0.99838
181,0.232764,0.618592,0.622804,0.288482,0.44564,0.0769605,0.0484566,0.0242283,0.00285039,0.0142519,0.99824
182,0.225068,0.613746,0.620381,0.288197,0.444215,0.0736488,0.0534315,0.0216614,0.00577638,0.0144409,0.998257
183,0.217703,0.608403,0.618215,0.287619,0.442771,0.118717,0.0929088,0.025808,0.0051616,0.025808,0.996523
184,0.205831,0.599112,0.615634,0.287103,0.44019,0.0941292,0.0609071,0.0313764,0.00922835,0.0184567,0.997931
185,0.196418,0.593022,0.612496,0.28618,0.438345,0.0919876,0.0651579,0.0364118,0.00383282,0.0191641,0.997897
186,0.187219,0.586506,0.608855,0.285797,0.436428,0.148512,0.0891071,0.0475238,0.00594047,0.0297024,0.99675
187,0.172368,0.577595,0.604103,0.285203,0.433458,0.125425,0.0852889,0.040136,0.010034,0.025085,0.997663
188,0.159826,0.569066,0.600089,0.284199,0.430949,0.147619,0.0993589,0.0425824,0.00567765,0.0283882,0.997674
189,0.145064,0.55913,0.595831,0.283632,0.428111,0.184811,0.120838,0.0497569,0.00710813,0.0355407,0.997269
190,0.126583,0.547047,0.590855,0.282921,0.424557,0.201993,0.137527,0.0687635,0.00859544,0.0429772,0.996579
191,0.106383,0.533294,0.583979,0.282061,0.420259,0.247579,0.159895,0.0825264,0.0103158,0.051579,0.996371
192,0.0816254,0.517304,0.575726,0.28103,0.415101,0.274506,0.172837,0.0762515,0.0203337,0.0508344,0.997593
193,0.0541748,0.500021,0.568101,0.278996,0.410017,0.256866,0.202529,0.0740958,0.00493972,0.0493972,0.998252
194,0.0284883,0.479768,0.560692,0.278502,0.405078,0.327466,0.250065,0.0833551,0.0119079,0.0595393,0.998466
195,-0.00425836,0.454761,0.552356,0.277311,0.399124,0.56675,0.358556,0.173495,0.0115663,0.115663,0.995853
196,-0.0609334,0.418906,0.535007,0.276155,0.387557,0.853925,0.546512,0.204942,0.034157,0.170785,0.995446
197,-0.146326,0.364255,0.514512,0.272739,0.370479,1.30184,0.828446,0.307708,0.0473398,0.236699,0.99704
198,-0.27651,0.28141,0.483742,0.268005,0.346809,1.449,0.916716,0.443572,0.0295715,0.295715,0.995474
199,-0.42141,0.189738,0.439384,0.265048,0.317238,0.886473,0.604414,0.261913,0.0402942,0.201471,0.99334
200,-0.510058,0.129297,0.413193,0.261019,0.29709,0.424088,0.282725,0.124732,0.0166309,0.0831545,0.996427
201,-0.552467,0.101024,0.40072,0.259355,0.288775,-1.4091,-0.738102,-1.342,-0.559168,-0.223667,0.999932
202,-0.411556,0.174835,0.53492,0.315272,0.311142,-0.225771,-0.1051,-0.198523,-0.0739596,-0.0389261,0.999736
203,-0.388979,0.185345,0.554773,0.322668,0.315034,-0.160931,-0.0679992,-0.133732,-0.0475995,-0.0226664,0.999924
